	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
25031	Pleurotus eryngii	5323	PRJNA454572	454572	Fungi	Basidiomycetes	174.58	46.5	GCA_003314755.1		QMFH01	104407			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010679
25334	Rhizophagus irregularis	588596	PRJEB33553	737667	Fungi	Other Fungi	146.58	27.7	GCA_903470525.1		CAGKOT01	121	24259.0	25343.0	2021/06/18	2021/06/25	Scaffold	University of Lausanne	SAMEA5841255
25459	Puccinia striiformis f. sp. tritici	168172	PRJNA396589	396589	Fungi	Basidiomycetes	156.834	44.4	GCA_002900275.1		PELB01	631			2018/01/26	2018/01/26	Contig	Australian National University	SAMN07430048
25813	Rhizophagus irregularis	588596	PRJEB33553	737667	Fungi	Other Fungi	166.808	28.0	GCA_903470595.1		CAGKPD01	372	25902.0	26964.0	2021/06/18	2021/06/25	Scaffold	University of Lausanne	SAMEA5841306
26058	Rhizophagus irregularis	588596	PRJEB33553	737667	Fungi	Other Fungi	147.984	27.6	GCA_903189815.1		CAEVNS01	151	24837.0	25843.0	2021/06/18	2021/06/25	Scaffold	University of Lausanne	SAMEA5841244
26346	Puccinia striiformis	27350	PRJNA513913	513913	Fungi	Basidiomycetes	144.837	44.2	GCA_004194325.1		SBIN01	1254			2019/02/11	2019/02/11	Scaffold	Washington State University	SAMN10716073
26434	Rhizophagus irregularis	588596	PRJEB33553	737667	Fungi	Other Fungi	134.711	27.5	GCA_903231485.1		CAFBRS01	820	21742.0	22580.0	2021/06/18	2021/06/25	Scaffold	University of Lausanne	SAMEA5841246
26613	Rhizophagus irregularis	588596	PRJEB45340	768188	Fungi	Other Fungi	116.452	27.3	GCA_910592225.1		CAJVPR01	15939	23258.0	23258.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911290
26928	Rhizophagus irregularis	588596	PRJNA299210	299210	Fungi	Other Fungi	124.731	26.0	GCA_001593135.2		LLXK01	10251	25058.0	24971.0	2016/03/16	2018/12/13	Scaffold	University of Ottawa	SAMN04195446
27068	Rhizophagus irregularis	588596	PRJNA299212	299212	Fungi	Other Fungi	122.873	26.1	GCA_001593155.1		LLXL01	10735	26711.0	26618.0	2016/03/16	2018/12/13	Scaffold	University of Ottawa	SAMN04195450
27351	Rhizophagus irregularis	588596	PRJNA299202	299202	Fungi	Other Fungi	125.354	25.9	GCA_001593125.1		LLXH01	11196	26582.0	26476.0	2016/03/16	2018/12/13	Scaffold	University of Ottawa	SAMN04195188
27463	Rhizophagus irregularis	588596	PRJNA299208	299208	Fungi	Other Fungi	131.335	25.8	GCA_001593205.1		LLXJ01	14476	26526.0	26430.0	2016/03/16	2018/12/13	Scaffold	University of Ottawa	SAMN04195397
27715	Rhizophagus irregularis	588596	PRJNA299206	299206	Fungi	Other Fungi	138.327	26.0	GCA_001593145.1		LLXI01	11269	26470.0	26373.0	2016/03/16	2018/12/13	Scaffold	University of Ottawa	SAMN04195388
27822	Rhizophagus irregularis	588596	PRJNA670049	670049	Fungi	Other Fungi	116.014	27.2	GCA_021464345.1		JADRCL01	17068			2022/01/14	2022/01/14	Contig	EPFL	SAMN16522166
28058	Rhizophagus irregularis	588596	PRJNA670049	670049	Fungi	Other Fungi	111.846	27.2	GCA_021464325.1		JADRCK01	16879			2022/01/14	2022/01/14	Contig	EPFL	SAMN16522165
28159	Rhizophagus irregularis	588596	PRJNA670049	670049	Fungi	Other Fungi	112.026	27.2	GCA_021464265.1		JADRCI01	16952			2022/01/14	2022/01/14	Contig	EPFL	SAMN16522163
28196	Puccinia striiformis f. sp. tritici PST-78	1165861	PRJNA41279	41279	Fungi	Basidiomycetes	117.391	36.3	GCA_001191645.1		AJIL01	9716	48.0	20.0	2015/07/31	2015/08/03	Scaffold	Broad Institute	SAMN03897338
28200	Puccinia triticina Race 106	1436007	PRJNA231548	231548	Fungi	Basidiomycetes	105.068		GCA_001706785.1		AZRP01	55512			2016/08/17	2016/08/17	Contig	National Research Centre on Plant Biotechnology	SAMN02444502
28361	Rhizophagus irregularis	588596	PRJNA670049	670049	Fungi	Other Fungi	111.646	27.2	GCA_021464285.1		JADRCJ01	16977			2022/01/14	2022/01/14	Contig	EPFL	SAMN16522164
28452	Rhizophagus irregularis	588596	PRJNA490338	490338	Fungi	Other Fungi	156.891	21.4	GCA_003833115.1		QZCC01	6642			2018/11/26	2018/11/26	Scaffold	University of Ottawa	SAMN09467025
28611	Puccinia triticina	208348	PRJNA849275	849275	Fungi	Basidiomycetes	147.117	0.136929	GCA_029618625.1	chromosome 1:CM056098.1; chromosome 2:CM056099.1; chromosome 3:CM056100.1; chromosome 4:CM056101.1; chromosome 5:CM056102.1; chromosome 6:CM056103.1; chromosome 7:CM056104.1; chromosome 8:CM056105.1; chromosome 9:CM056106.1; chromosome 10:CM056107.1; chromosome 11:CM056108.1; chromosome 12:CM056109.1; chromosome 13:CM056110.1; chromosome 14:CM056111.1; chromosome 15:CM056112.1; chromosome 16:CM056113.1; chromosome 17:CM056114.1; chromosome 18:CM056115.1	JARPQE01	32			2023/04/07	2023/04/07	Chromosome	University of Sydney	SAMN19071591
28648	Rhizophagus irregularis	588596	PRJNA565846	565846	Fungi	Other Fungi	130.974	25.8	GCA_008973605.1		VZAA01	22269			2019/10/11	2019/10/11	Scaffold	The Energy and Resources Institute	SAMN12770177
28729	Rhizophagus irregularis	588596	PRJNA477348	477348	Fungi	Other Fungi	211.467	18.2	GCA_003833045.1		QZCD01	29249			2018/11/26	2018/11/26	Scaffold	University of Ottawa	SAMN09467025
28761	Puccinia triticina	208348	PRJNA849276	849276	Fungi	Basidiomycetes	148.179	0.134504	GCA_029618635.1	chromosome 1:CM056116.1; chromosome 2:CM056117.1; chromosome 3:CM056118.1; chromosome 4:CM056119.1; chromosome 5:CM056120.1; chromosome 6:CM056121.1; chromosome 7:CM056122.1; chromosome 8:CM056123.1; chromosome 9:CM056124.1; chromosome 10:CM056125.1; chromosome 11:CM056126.1; chromosome 12:CM056127.1; chromosome 13:CM056128.1; chromosome 14:CM056129.1; chromosome 15:CM056130.1; chromosome 16:CM056131.1; chromosome 17:CM056132.1; chromosome 18:CM056133.1	JARPQD01	32			2023/04/07	2023/04/07	Chromosome	University of Sydney	SAMN19071591
28880	Puccinia striiformis f. sp. tritici CY32	1240226	PRJNA176877	176877	Fungi	Basidiomycetes	130.485	45.2	GCA_000474995.1		ANHQ01	4279			2013/09/30	2014/08/11	Scaffold	BGI	SAMN02981480
28908	Rhizophagus irregularis DAOM 181602=DAOM 197198	747089	PRJDB4945	419507	Fungi	Other Fungi	149.747	27.9	GCA_002897155.2		BDIQ02	210	42230.0	50073.0	2017/11/21	2020/11/14	Contig	NIBB core research facilities, National Institues for Basic Biology	SAMD00053945
28981	Rhizophagus irregularis DAOM 197198w	1432141	PRJNA230015	230015	Fungi	Other Fungi	117.1	27.3	GCA_000597665.1		JARB01	12854			2014/02/10	2014/02/10	Scaffold	Laboratory of Computational Molecular Biology, College of Life Sciences, Beijing Normal University	SAMN02422735
29141	Rhizophagus irregularis DAOM 197198w	1432141	PRJNA230015	230015	Fungi	Other Fungi	114.939	27.2	GCA_000597625.1		JAQZ01	12567			2014/02/10	2014/02/10	Scaffold	Laboratory of Computational Molecular Biology, College of Life Sciences, Beijing Normal University	SAMN02422734
29204	Rhizophagus irregularis DAOM 197198w	1432141	PRJNA230015	230015	Fungi	Other Fungi	115.781	27.3	GCA_000597645.1		JARA01	13321			2014/02/10	2014/02/10	Scaffold	Laboratory of Computational Molecular Biology, College of Life Sciences, Beijing Normal University	SAMN02422736
29359	Rhizophagus irregularis DAOM 197198w	1432141	PRJNA230015	230015	Fungi	Other Fungi	140.696	27.5	GCA_000597685.1		JEMT01	30233	27300.0	29911.0	2014/03/18	2014/03/18	Scaffold	Laboratory of Computational Molecular Biology, College of Life Sciences, Beijing Normal University	SAMN02422737
29603	Rhizophagus irregularis	588596	PRJEB33553	737667	Fungi	Other Fungi	221.67	27.7	GCA_903189775.1		CAEVNN01	1316	42261.0	44137.0	2021/06/18	2021/06/25	Scaffold	University of Lausanne	SAMEA5841291
29742	Rhizophagus irregularis DAOM 181602=DAOM 197198	747089	PRJNA208392	208392	Fungi	Other Fungi	136.726	28.7	GCA_000439145.3		AUPC02	1111	26245.0	26147.0	2013/07/17	2018/01/30	Scaffold	DOE Joint Genome Institute	SAMN02744054
