	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
2139	Drosophila serrata	7274	PRJNA384652	384652	Animals	Insects	196.035	38.9	GCA_002093755.2		MTTC01	1293	15601.0	20504.0	2017/04/14	2017/04/14	Contig	NCBI	SAMN06092698	1.3142747259791039
2144	Hyaena hyaena	95912	PRJNA694192	694192	Animals	Mammals	2374.73	41.6	GCA_003009895.1	mitochondrion MT:NC_020669.1/	PEQU01	5761	29685.0	41367.0	2018/03/19	2018/03/19	Scaffold	NCBI	SAMN07212965	1.393532086912582
2174	Bactrocera oleae	104688	PRJNA293367	293367	Animals	Insects	484.947	35.4997	GCA_001188975.4	mitochondrion MT:NC_005333.1/	LGAM02	38161	16172.0	33727.0	2015/07/29	2020/03/06	Scaffold	NCBI	SAMN03840585	2.0855181795696267
2221	Salvia hispanica	49212	PRJNA835093	835093	Plants	Land Plants	321.469	36.1655	GCA_023119035.1	chromosome 1:NC_062965.1/CM041355.1; chromosome 2:NC_062966.1/CM041356.1; chromosome 3:NC_062967.1/CM041357.1; chromosome 4:NC_062968.1/CM041358.1; chromosome 5:NC_062969.1/CM041359.1; chromosome 6:NC_062970.1/CM041360.1; chloroplast Pltd:NC_046838.1/	JALPBU01	1556	39616.0	46508.0	2022/04/26	2022/04/29	Chromosome	NCBI	SAMN27737700	1.173970113085622
2224	Poecilia latipinna	48699	PRJNA305623	305623	Animals	Fishes	815.145	40.8	GCA_001443285.1		LMXD01	17988	31576.0	47072.0	2015/11/12	2015/11/13	Scaffold	NCBI	SAMN02048973	1.4907524702305548
2228	Zonotrichia albicollis	44394	PRJNA217032	217032	Animals	Birds	1052.6	41.8	GCA_000385455.1		ARWJ01	6018	17364.0	26242.0	2013/04/26	2014/08/11	Scaffold	NCBI	SAMN02981528	1.5112877217231053
2235	Pygoscelis adeliae	9238	PRJNA261076	261076	Animals	Birds	1216.62	41.8001	GCA_000699105.1	mitochondrion MT:NC_021137.1/	JMFP01	19265	14453.0	16927.0	2014/05/07	2016/11/17	Scaffold	NCBI	SAMN02596601	1.171175534491109
2252	Tarenaya hassleriana	28532	PRJNA175230	175230	Plants	Land Plants	249.93	40.5	GCA_000463585.1		AOUI01	12249	30212.0	41094.0	2013/09/03	2014/08/11	Scaffold	Beijing Genomics Institution-shenzhen	SAMN02981509	1.360188004766318
2260	Juglans regia	51240	PRJNA350852	350852	Plants	Land Plants	572.947	36.2241	GCA_001411555.2	chromosome 1:NC_049901.1/CM023841.1; chromosome 2:NC_049902.1/CM023842.1; chromosome 3:NC_049903.1/CM023843.1; chromosome 4:NC_049904.1/CM023844.1; chromosome 5:NC_049905.1/CM023845.1; chromosome 6:NC_049906.1/CM023846.1; chromosome 7:NC_049907.1/CM023847.1; chromosome 8:NC_049908.1/CM023848.1; chromosome 9:NC_049909.1/CM023849.1; chromosome 10:NC_049910.1/CM023850.1; chromosome 11:NC_049911.1/CM023851.1; chromosome 12:NC_049912.1/CM023852.1; chromosome 13:NC_049913.1/CM023853.1; chromosome 14:NC_049914.1/CM023854.1; chromosome 15:NC_049915.1/CM023855.1; chromosome 16:NC_049916.1/CM023856.1; chloroplast Pltd:NC_028617.1/	LIHL02	24757	37996.0	45959.0	2015/10/22	2020/07/08	Chromosome	NCBI	SAMN03704235	1.2095746920728498
2264	Pararge aegeria	116150	PRJEB42039	686359	Animals	Insects	516.571	35.9903	GCA_905163445.1	chromosome 1:NC_053180.1/LR990895.1; chromosome 2:NC_053181.1/LR990892.1; chromosome 3:NC_053182.1/LR990893.1; chromosome 4:NC_053183.1/LR990894.1; chromosome 5:NC_053184.1/LR990896.1; chromosome 6:NC_053185.1/LR990897.1; chromosome 7:NC_053186.1/LR990899.1; chromosome 8:NC_053187.1/LR990898.1; chromosome 9:NC_053188.1/LR990900.1; chromosome 10:NC_053189.1/LR990901.1; chromosome 11:NC_053190.1/LR990902.1; chromosome 12:NC_053191.1/LR990903.1; chromosome 13:NC_053192.1/LR990904.1; chromosome 14:NC_053193.1/LR990905.1; chromosome 15:NC_053194.1/LR990906.1; chromosome 16:NC_053195.1/LR990907.1; chromosome 17:NC_053196.1/LR990908.1; chromosome 18:NC_053197.1/LR990909.1; chromosome 19:NC_053198.1/LR990910.1; chromosome 20:NC_053199.1/LR990911.1; chromosome 21:NC_053200.1/LR990912.1; chromosome 22:NC_053201.1/LR990913.1; chromosome 23:NC_053202.1/LR990914.1; chromosome 24:NC_053203.1/LR990915.1; chromosome 25:NC_053204.1/LR990916.1; chromosome 26:NC_053205.1/LR990917.1; chromosome 27:NC_053206.1/LR990918.1; chromosome W:NC_053207.1/LR990919.1; chromosome Z:NC_053208.1/LR990891.1; mitochondrion MT:LR990920.1	CAJHZN01	70	14745.0	20956.0	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7532732	1.421227534757545
2265	Morus notabilis	981085	PRJNA202089	202089	Plants	Land Plants	320.379	35.5	GCA_000414095.2		ATGF01	31301	24448.0	27648.0	2013/06/24	2014/02/25	Scaffold	BGI	SAMN02141246	1.130890052356021
2269	Leptopilina heterotoma	63436	PRJNA759655	759655	Animals	Insects	484.694	26.9	GCA_015476425.1		JABAIE01	396	15576.0	24645.0	2020/11/15	2020/11/15	Contig	NCBI	SAMN14582825	1.5822419106317411
2272	Formica exsecta	72781	PRJNA552586	552586	Animals	Insects	277.634	37.7	GCA_003651465.1		NPMM01	14521	13725.0	22509.0	2018/10/15	2018/10/15	Scaffold	NCBI	SAMN07344805	1.64
2285	Zootermopsis nevadensis	136037	PRJNA396924	396924	Animals	Insects	485.025	38.5997	GCA_000696155.1	mitochondrion MT:NC_024658.1/	AUST01	31663	15142.0	30187.0	2014/05/23	2014/06/05	Scaffold	NCBI	SAMN02146280	1.993593977017567
2298	Aphis gossypii	80765	PRJNA869080	869080	Animals	Insects	334.871	27.7508	GCA_020184175.2	chromosome 1:NC_065530.1/CM035051.1; chromosome 2:NC_065531.1/CM035052.1; chromosome 3:NC_065532.1/CM035053.1; chromosome X:NC_065533.1/CM035054.1; mitochondrion MT:NC_024581.1/	JAGTJE01	505	18811.0	26009.0	2021/09/30	2021/09/30	Chromosome	NCBI	SAMN18623971	1.3826484503747807
2301	Python bivittatus	176946	PRJNA61243	61243	Animals	Reptiles	1435.05	39.7	GCA_000186305.2	mitochondrion MT:NC_021479.1/	AEQU02	39113	22427.0	32724.0	2013/09/09	2014/10/02	Scaffold	Washington University	SAMN02981298	1.4591340794577965
2302	Diabrotica virgifera virgifera	50390	PRJNA862183	862183	Animals	Insects	2533.4	33.0575	GCA_917563875.2	chromosome 1:NC_065443.1/OU830624.1; chromosome 2:NC_065444.1/OU830625.2; chromosome 3:NC_065445.1/OU830626.1; chromosome 4:NC_065446.1/OU830627.1; chromosome 5:NC_065447.1/OU830628.1; chromosome 6:NC_065448.1/OU830629.1; chromosome 7:NC_065449.1/OU830630.1; chromosome 8:NC_065450.1/OU830631.1; chromosome 9:NC_065451.1/OU830632.2; chromosome 10:NC_065452.1/OU830633.1		10	24968.0	31900.0	2022/06/14	2022/09/19	Chromosome	NCBI	SAMEA10259683	1.2776353732777956
2359	Corvus cornix cornix	932674	PRJNA192205	192205	Animals	Birds	1030.88	42.1179	GCA_000738735.6	chromosome 1:NC_046332.1/CM022185.2; chromosome 2:NC_046333.1/CM022186.2; chromosome 3:NC_047056.1/CM022407.2; chromosome 4:NC_046334.1/CM022187.2; chromosome 5:NC_046335.1/CM022188.2; chromosome 6:NC_046336.1/CM022189.2; chromosome 7:NC_046337.1/CM022190.2; chromosome 8:NC_046338.1/CM022191.2; chromosome 9:NC_046339.1/CM022192.2; chromosome 10:NC_046340.1/CM022193.2; chromosome 11:NC_046341.1/CM022194.2; chromosome 12:NC_046342.1/CM022195.2; chromosome 13:NC_046343.1/CM022196.2; chromosome 14:NC_046344.1/CM022197.2; chromosome 15:NC_046345.1/CM022198.2; chromosome 1A:NC_047057.1/CM022408.2; chromosome 17:NC_046346.1/CM022199.2; chromosome 18:NC_046347.1/CM022200.2; chromosome 19:NC_046348.1/CM022201.2; chromosome 20:NC_046349.1/CM022202.2; chromosome 21:NC_046350.1/CM022203.2; chromosome 22:NC_046351.1/CM022204.2; chromosome 23:NC_046352.1/CM022205.2; chromosome 24:NC_046353.1/CM022206.2; chromosome 4A:NC_047058.1/CM022409.2; chromosome 26:NC_046354.1/CM022207.2; chromosome 27:NC_046355.1/CM022208.2; chromosome 28:NC_046356.1/CM022209.2; chromosome Z:NC_046357.1/CM022210.2; mitochondrion:NC_062298.1/MT371428.1	JPSR04	47	17677.0	36608.0	2014/08/04	2021/02/04	Chromosome	Uppsala University	SAMN02143031	2.0709396390790293
2362	Benincasa hispida	102211	PRJNA691418	691418	Plants	Land Plants	912.951	35.0747	GCA_009727055.1	chromosome 1:NC_052349.1/CM019126.1; chromosome 2:NC_052350.1/CM019127.1; chromosome 3:NC_052351.1/CM019128.1; chromosome 4:NC_052352.1/CM019129.1; chromosome 5:NC_052353.1/CM019130.1; chromosome 6:NC_052354.1/CM019131.1; chromosome 7:NC_052355.1/CM019132.1; chromosome 8:NC_052356.1/CM019133.1; chromosome 9:NC_052357.1/CM019134.1; chromosome 10:NC_052358.1/CM019135.1; chromosome 11:NC_052359.1/CM019136.1; chromosome 12:NC_052360.1/CM019137.1	WEIL01	1791	26068.0	33043.0	2019/12/02	2019/12/03	Chromosome	NCBI	SAMN08364809	1.267569433788553
2367	Myotis brandtii	109478	PRJNA218631	218631	Animals	Mammals	2107.24	42.9	GCA_000412655.1		ANKR01	169750	28992.0	40808.0	2013/06/19	2015/02/09	Scaffold	NCBI	SAMN01801565	1.4075607064017661
2369	Trichoplusia ni	7111	PRJNA497582	497582	Animals	Insects	368.211	35.6704	GCA_003590095.1	chromosome 1:NC_039478.1/CM010751.1; chromosome 2:NC_039479.1/CM010752.1; chromosome 3:NC_039480.1/CM010753.1; chromosome 4:NC_039481.1/CM010754.1; chromosome 5:NC_039482.1/CM010755.1; chromosome 6:NC_039483.1/CM010756.1; chromosome 7:NC_039484.1/CM010757.1; chromosome 8:NC_039485.1/CM010758.1; chromosome 9:NC_039486.1/CM010759.1; chromosome 10:NC_039487.1/CM010760.1; chromosome 11:NC_039488.1/CM010761.1; chromosome 12:NC_039489.1/CM010762.1; chromosome 13:NC_039490.1/CM010763.1; chromosome 14:NC_039491.1/CM010764.1; chromosome 15:NC_039492.1/CM010765.1; chromosome 16:NC_039493.1/CM010766.1; chromosome 17:NC_039494.1/CM010767.1; chromosome 18:NC_039495.1/CM010768.1; chromosome 19:NC_039496.1/CM010769.1; chromosome 20:NC_039497.1/CM010770.1; chromosome 21:NC_039498.1/CM010771.1; chromosome 22:NC_039499.1/CM010772.1; chromosome 23:NC_039500.1/CM010773.1; chromosome 24:NC_039501.1/CM010774.1; chromosome 25:NC_039502.1/CM010775.1; chromosome 26:NC_039503.1/CM010776.1; chromosome 27:NC_039504.1/CM010777.1; chromosome 28:NC_039505.1/CM010778.1; mitochondrion MT:CM010779.1	NKQN01	1031	17445.0	23658.0	2018/02/05	2018/09/24	Chromosome	NCBI	SAMN07304761	1.3561478933791917
2374	Cucurbita moschata	3662	PRJNA418582	418582	Plants	Land Plants	269.943	36.8	GCA_002738365.1		NEWM01	3500	35355.0	43715.0	2017/10/31	2017/10/31	Scaffold	NCBI	SAMN06886672	1.23645877527931
2382	Lacerta agilis	80427	PRJNA614516	614516	Animals	Reptiles	1391.41	43.7711	GCA_009819535.1	chromosome 1:NC_046312.1/CM020416.1; chromosome 2:NC_046313.1/CM020417.1; chromosome 3:NC_046314.1/CM020418.1; chromosome 4:NC_046315.1/CM020419.1; chromosome 5:NC_046316.1/CM020420.1; chromosome 6:NC_046317.1/CM020421.1; chromosome 7:NC_046318.1/CM020422.1; chromosome 8:NC_046319.1/CM020423.1; chromosome 9:NC_046320.1/CM020424.1; chromosome 10:NC_046321.1/CM020425.1; chromosome 11:NC_046322.1/CM020426.1; chromosome 12:NC_046323.1/CM020427.1; chromosome 13:NC_046324.1/CM020428.1; chromosome 14:NC_046325.1/CM020429.1; chromosome 15:NC_046326.1/CM020430.1; chromosome 16:NC_046327.1/CM020431.1; chromosome 17:NC_046328.1/CM020432.1; chromosome 18:NC_046329.1/CM020433.1; chromosome W:NC_046330.1/CM020435.1; chromosome Z:NC_046331.1/CM020434.1; mitochondrion MT:NC_021766.1/CM020436.1	WNMS01	29	23190.0	39267.0	2019/12/23	2019/12/31	Chromosome	NCBI	SAMN12629509	1.6932729624838292
2387	Echinococcus multilocularis	6211	PRJEB122	213838	Animals	Flatworms	114.963	42.4	GCA_000469725.3		CBLO02	1217	9192.0	10656.0	2013/07/31	2015/11/12	Scaffold	WELLCOME SANGER INSTITUTE	SAMEA2271939	1.1592689295039165
2410	Scatophagus argus	75038	PRJNA776026	776026	Animals	Fishes	570.802	41.5077	GCA_020382885.1	chromosome 1:NC_058493.1/CM035567.1; chromosome 2:NC_058494.1/CM035568.1; chromosome 3:NC_058495.1/CM035569.1; chromosome 4:NC_058496.1/CM035570.1; chromosome 5:NC_058497.1/CM035571.1; chromosome 6:NC_058498.1/CM035572.1; chromosome 7:NC_058499.1/CM035573.1; chromosome 8:NC_058500.1/CM035574.1; chromosome 9:NC_058501.1/CM035575.1; chromosome 10:NC_058502.1/CM035576.1; chromosome 11:NC_058503.1/CM035577.1; chromosome 12:NC_058504.1/CM035578.1; chromosome 13:NC_058505.1/CM035579.1; chromosome 14:NC_058506.1/CM035580.1; chromosome 15:NC_058507.1/CM035581.1; chromosome 16:NC_058508.1/CM035582.1; chromosome 17:NC_058509.1/CM035583.1; chromosome 18:NC_058510.1/CM035584.1; chromosome 19:NC_058511.1/CM035585.1; chromosome 20:NC_058512.1/CM035586.1; chromosome 21:NC_058513.1/CM035587.1; chromosome 22:NC_058514.1/CM035588.1; chromosome 23:NC_058515.1/CM035589.1; chromosome 24:NC_058516.1/CM035590.1; mitochondrion MT:NC_059324.1/CM035598.1	JAIZDN01	48	26110.0	48218.0	2021/10/07	2021/10/13	Chromosome	NCBI	SAMN12623616	1.8467253925698965
2412	Alligator sinensis	38654	PRJNA221633	221633	Animals	Reptiles	2270.57	44.6	GCA_000455745.1		AVPB01	9317	24641.0	43092.0	2013/08/27	2014/08/11	Scaffold	NCBI	SAMN02981559	1.748792662635445
2456	Echeneis naucrates	173247	PRJEB31992	530953	Animals	Fishes	544.229	41.4328	GCA_900963305.1	chromosome 1:NC_042511.1/LR584042.1; chromosome 2:NC_042512.1/LR584043.1; chromosome 3:NC_042513.1/LR584044.1; chromosome 4:NC_042514.1/LR584045.1; chromosome 5:NC_042515.1/LR584046.1; chromosome 6:NC_042516.1/LR584047.1; chromosome 7:NC_042517.1/LR584048.1; chromosome 8:NC_042518.1/LR584049.1; chromosome 9:NC_042519.1/LR584050.1; chromosome 10:NC_042520.1/LR584051.1; chromosome 11:NC_042521.1/LR584052.1; chromosome 12:NC_042522.1/LR584053.1; chromosome 13:NC_042523.1/LR584054.1; chromosome 14:NC_042524.1/LR584055.1; chromosome 15:NC_042525.1/LR584056.1; chromosome 16:NC_042526.1/LR584057.1; chromosome 17:NC_042527.1/LR584058.1; chromosome 18:NC_042528.1/LR584059.1; chromosome 19:NC_042529.1/LR584060.1; chromosome 20:NC_042530.1/LR584061.1; chromosome 21:NC_042531.1/LR584062.1; chromosome 22:NC_042532.1/LR584063.1; chromosome 23:NC_042533.1/LR584064.1; chromosome 24:NC_042534.1/LR584065.1; mitochondrion MT:NC_022508.1/	CAAHFO01	38	27253.0	38188.0	2019/04/09	2021/04/23	Chromosome	Wellcome Sanger Institute	SAMEA4966390	1.401240230433347
2461	Esox lucius	8010	PRJNA629749	629749	Animals	Fishes	918.749	42.2288	GCA_011004845.1	chromosome 1:NC_047569.1/CM021593.1; chromosome 2:NC_047570.1/CM021594.1; chromosome 3:NC_047571.1/CM021595.1; chromosome 4:NC_047572.1/CM021596.1; chromosome 5:NC_047573.1/CM021597.1; chromosome 6:NC_047574.1/CM021598.1; chromosome 7:NC_047575.1/CM021599.1; chromosome 8:NC_047576.1/CM021600.1; chromosome 9:NC_047577.1/CM021601.1; chromosome 10:NC_047578.1/CM021602.1; chromosome 11:NC_047579.1/CM021603.1; chromosome 12:NC_047580.1/CM021604.1; chromosome 13:NC_047581.1/CM021605.1; chromosome 14:NC_047582.1/CM021606.1; chromosome 15:NC_047583.1/CM021607.1; chromosome 16:NC_047584.1/CM021608.1; chromosome 17:NC_047585.1/CM021609.1; chromosome 18:NC_047586.1/CM021610.1; chromosome 19:NC_047587.1/CM021611.1; chromosome 20:NC_047588.1/CM021612.1; chromosome 21:NC_047589.1/CM021613.1; chromosome 22:NC_047590.1/CM021614.1; chromosome 23:NC_047591.1/CM021615.1; chromosome 24:NC_047592.1/CM021616.1; chromosome 25:NC_047593.1/CM021617.1; mitochondrion MT:CM021655.1	JAAIYR01	53	30092.0	58098.0	2020/02/24	2020/04/28	Chromosome	NCBI	SAMN12623624	1.9306792502990828
2465	Carcharodon carcharias	13397	PRJNA725502	725502	Animals	Fishes	4286.31	45.2278	GCA_017639515.1	chromosome 1:NC_054467.1/CM029965.1; chromosome 2:NC_054468.1/CM029966.1; chromosome 3:NC_054469.1/CM029967.1; chromosome 4:NC_054470.1/CM029968.1; chromosome 5:NC_054471.1/CM029969.1; chromosome 6:NC_054472.1/CM029970.1; chromosome 7:NC_054473.1/CM029971.1; chromosome 8:NC_054474.1/CM029972.1; chromosome 9:NC_054475.1/CM029973.1; chromosome 10:NC_054476.1/CM029974.1; chromosome 11:NC_054477.1/CM029975.1; chromosome 12:NC_054478.1/CM029976.1; chromosome 13:NC_054479.1/CM029977.1; chromosome 14:NC_054480.1/CM029978.1; chromosome 15:NC_054481.1/CM029979.1; chromosome 16:NC_054482.1/CM029980.1; chromosome 17:NC_054483.1/CM029981.1; chromosome 18:NC_054484.1/CM029982.1; chromosome 19:NC_054485.1/CM029983.1; chromosome 20:NC_054486.1/CM029984.1; chromosome 21:NC_054487.1/CM029985.1; chromosome 22:NC_054488.1/CM029986.1; chromosome 23:NC_054489.1/CM029987.1; chromosome 24:NC_054490.1/CM029988.1; chromosome 25:NC_054491.1/CM029989.1; chromosome 26:NC_054492.1/CM029990.1; chromosome 27:NC_054493.1/CM029991.1; chromosome 28:NC_054494.1/CM029992.1; chromosome 29:NC_054495.1/CM029993.1; chromosome 30:NC_054496.1/CM029994.1; chromosome 31:NC_054497.1/CM029995.1; chromosome 32:NC_054498.1/CM029996.1; chromosome 33:NC_054499.1/CM029997.1; chromosome 34:NC_054500.1/CM029998.1; chromosome 35:NC_054501.1/CM029999.1; chromosome 36:NC_054502.1/CM030000.1; chromosome 37:NC_054503.1/CM030001.1; chromosome 38:NC_054504.1/CM030002.1; chromosome 39:NC_054505.1/CM030003.1; chromosome 40:NC_054506.1/CM030004.1; chromosome X:NC_054507.1/CM030005.1; chromosome Y:NC_054508.1/CM030006.1; mitochondrion MT:NC_022415.1/CM030070.1	JAGDEE01	719	25164.0	44456.0	2021/03/30	2021/03/30	Chromosome	NCBI	SAMN12629504	1.7666507709426165
2468	Bos mutus	72004	PRJNA74739	74739	Animals	Mammals	2645.16	42.0	GCA_000298355.1	mitochondrion MT:NC_006380.3/	AGSK01	41192	26183.0	28881.0	2012/05/21	2013/11/01	Scaffold	BGI-shenzhen	SAMN00744358	1.103043959821258
2479	Panthera onca	9690	PRJNA1028623	1028623	Animals	Mammals	2380.26	41.6397	GCA_028533385.1	chromosome 1:NC_083295.1/; chromosome 2:NC_083296.1/; chromosome 3:NC_083297.1/; chromosome 4:NC_083298.1/; chromosome 5:NC_083299.1/; chromosome 6:NC_083300.1/; chromosome 7:NC_083301.1/; chromosome 8:NC_083302.1/; chromosome 9:NC_083303.1/; chromosome 10:NC_083304.1/; chromosome 11:NC_083305.1/; chromosome 12:NC_083306.1/; chromosome 13:NC_083307.1/; chromosome 14:NC_083308.1/; chromosome 15:NC_083309.1/; chromosome 16:NC_083310.1/; chromosome 17:NC_083311.1/; chromosome 18:NC_083312.1/; chromosome 19:NC_083313.1/; mitochondrion MT:NC_022842.1/	JAQIGD01	36243	35206.0	55448.0	2023/02/07	2023/02/09	Chromosome	NCBI	SAMN14122073	1.5749588138385502
2482	Pyrgilauda ruficollis	221976	PRJNA703052	703052	Animals	Birds	1045.98	42.0	GCA_017590135.1	mitochondrion MT:NC_022815.1/	JAGGNJ01	24055	17565.0	32632.0	2021/03/26	2021/03/26	Scaffold	NCBI	SAMN18252884	1.8577853686308
2485	Kryptolebias marmoratus	37003	PRJNA679609	679609	Animals	Fishes	680.656	40.5919	GCA_001649575.2	linkage group LG1:NC_051430.1/CM027009.1; linkage group LG2:NC_051431.1/CM027010.1; linkage group LG3:NC_051432.1/CM027011.1; linkage group LG4:NC_051433.1/CM027012.1; linkage group LG5:NC_051434.1/CM027013.1; linkage group LG6:NC_051435.1/CM027014.1; linkage group LG7:NC_051436.1/CM027015.1; linkage group LG8:NC_051437.1/CM027016.1; linkage group LG9:NC_051438.1/CM027017.1; linkage group LG10:NC_051439.1/CM027018.1; linkage group LG11:NC_051440.1/CM027019.1; linkage group LG12:NC_051441.1/CM027020.1; linkage group LG13:NC_051442.1/CM027021.1; linkage group LG14:NC_051443.1/CM027022.1; linkage group LG15:NC_051444.1/CM027023.1; linkage group LG16:NC_051445.1/CM027024.1; linkage group LG17:NC_051446.1/CM027025.1; linkage group LG18:NC_051447.1/CM027026.1; linkage group LG19:NC_051448.1/CM027027.1; linkage group LG20:NC_051449.1/CM027028.1; linkage group LG21:NC_051450.1/CM027029.1; linkage group LG22:NC_051451.1/CM027030.1; linkage group LG23:NC_051452.1/CM027031.1; linkage group LG24:NC_051453.1/CM027032.1; mitochondrion MT:NC_003290.1/	LWHD02	300	25230.0	42533.0	2016/05/22	2020/11/16	Chromosome	NCBI	SAMN04622665	1.68581054300436
2489	Meles meles	9662	PRJEB49353	788863	Animals	Mammals	2738.69	42.4861	GCA_922984935.1	chromosome 1:NC_060066.1/OV277441.1; chromosome 2:NC_060067.1/OV277442.1; chromosome 3:NC_060068.1/OV277443.1; chromosome 4:NC_060069.1/OV277444.1; chromosome 5:NC_060070.1/OV277445.1; chromosome 6:NC_060071.1/OV277446.1; chromosome 7:NC_060072.1/OV277447.1; chromosome 8:NC_060073.1/OV277449.1; chromosome 9:NC_060074.1/OV277450.1; chromosome 10:NC_060075.1/OV277451.1; chromosome 11:NC_060076.1/OV277452.1; chromosome 12:NC_060077.1/OV277453.1; chromosome 13:NC_060078.1/OV277454.1; chromosome 14:NC_060079.1/OV277455.1; chromosome 15:NC_060080.1/OV277456.1; chromosome 16:NC_060081.1/OV277457.1; chromosome 17:NC_060082.1/OV277458.1; chromosome 18:NC_060083.1/OV277459.1; chromosome 19:NC_060084.1/OV277460.1; chromosome 20:NC_060085.1/OV277461.1; chromosome 21:NC_060086.1/OV277462.1; chromosome X:NC_060087.1/OV277448.1; chromosome Y:NC_060088.1/OV277463.1; mitochondrion MT:NC_011125.1/	CAKLPM01	538	31234.0	50518.0	2021/12/18	2022/03/21	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7524400	1.6174041109047832
2491	Ceratosolen solmsi marchali	326594	PRJNA277475	277475	Animals	Insects	276.158	30.4	GCA_000503995.1		ATAC01	1518	10015.0	12673.0	2013/12/04	2014/08/06	Scaffold	NCBI	SAMN02953852	1.2654018971542687
2493	Poecilia reticulata	8081	PRJNA238429	238429	Animals	Fishes	731.622	40.2816	GCA_000633615.2	linkage group LG1:NC_024331.1/CM002706.1; linkage group LG2:NC_024332.1/CM002707.1; linkage group LG3:NC_024333.1/CM002708.1; linkage group LG4:NC_024334.1/CM002709.1; linkage group LG5:NC_024335.1/CM002710.1; linkage group LG6:NC_024336.1/CM002711.1; linkage group LG7:NC_024337.1/CM002712.1; linkage group LG8:NC_024338.1/CM002713.1; linkage group LG9:NC_024339.1/CM002714.1; linkage group LG10:NC_024340.1/CM002715.1; linkage group LG11:NC_024341.1/CM002716.1; linkage group LG12:NC_024342.1/CM002717.1; linkage group LG13:NC_024343.1/CM002718.1; linkage group LG14:NC_024344.1/CM002719.1; linkage group LG15:NC_024345.1/CM002720.1; linkage group LG16:NC_024346.1/CM002721.1; linkage group LG17:NC_024347.1/CM002722.1; linkage group LG18:NC_024348.1/CM002723.1; linkage group LG19:NC_024349.1/CM002724.1; linkage group LG20:NC_024350.1/CM002725.1; linkage group LG21:NC_024351.1/CM002726.1; linkage group LG22:NC_024352.1/CM002727.1; linkage group LG23:NC_024353.1/CM002728.1; mitochondrion MT:NC_024238.1/KJ460033.1	AZHG01	3029	26512.0	43715.0	2014/04/17	2018/03/21	Chromosome	Max Planck Institute for Developmental Biology	SAMN02404645	1.6488759806879902
2494	Phascolarctos cinereus	38626	PRJNA384067	384067	Animals	Mammals	3192.58	39.1	GCA_002099425.1	mitochondrion MT:NC_008133.1/	MSTS01	1907	32146.0	46908.0	2017/04/18	2017/04/18	Contig	NCBI	SAMN06198159	1.4592173209730603
2510	Ursus arctos	9644	PRJNA832286	832286	Animals	Mammals	2423.42	42.3	GCA_023065955.2	chromosome X:NC_079873.1/CM057520.1; chromosome Y:NC_079874.1/CM057521.1; mitochondrion MT:NC_003427.1/	JALAAU02	362	30450.0	56235.0	2022/04/20	2023/05/22	Chromosome	NCBI	SAMN25977855	1.8467980295566502
2523	Monopterus albus	43700	PRJNA380265	380265	Animals	Fishes	684.144	41.5001	GCA_001952655.1	mitochondrion MT:NC_003192.1/	AONE01	20622	24079.0	40334.0	2017/01/13	2018/07/02	Scaffold	NCBI	SAMN06219872	1.6750695626894805
2525	Diuraphis noxia	143948	PRJNA310344	310344	Animals	Insects	395.074	34.2992	GCA_001186385.1	mitochondrion MT:NC_022727.1/	JOTR01	5637	13151.0	17476.0	2015/07/23	2015/09/03	Scaffold	NCBI	SAMN02693874	1.3288723291004487
2526	Penaeus japonicus	27405	PRJDB11151	695149	Animals	Other Animals	1705.01	34.8	GCA_017312705.1	mitochondrion MT:NC_007010.1/	BOPN01	18211	26131.0	39224.0	2021/02/12	2021/08/07	Scaffold	Laboratory of Genome Science  Graduate School of Marine Science and Technology, Tokyo University of Marine Science and Technology	SAMD00276454	1.5010523898817496
2540	Solanum pennellii	28526	PRJNA256387	256387	Plants	Land Plants	926.426	35.6914	GCA_001406875.2	chromosome 1:NC_028637.1/HG975440.1; chromosome 2:NC_028638.1/HG975441.1; chromosome 3:NC_028639.1/HG975442.1; chromosome 4:NC_028640.1/HG975443.1; chromosome 5:NC_028641.1/HG975444.1; chromosome 6:NC_028642.1/HG975445.1; chromosome 7:NC_028643.1/HG975446.1; chromosome 8:NC_028644.1/HG975447.1; chromosome 9:NC_028645.1/HG975448.1; chromosome 10:NC_028646.1/HG975449.1; chromosome 11:NC_028647.1/HG975450.1; chromosome 12:NC_028648.1/HG975451.1; chloroplast Pltd:HG975452.1		12	34055.0	38023.0	2014/06/25	2019/01/28	Chromosome	NCBI	SAMEA3283146	1.1165173983262369
